"t","j.NH3","j.CO2","e.NH3","e.CO2","e.NH3.rel","e.CO2.rel","p.CO2.s","p.NH3.s","id","treated","film","mtc","dur","j.NH3.gm2h","time.h","time.d","condition","env","mtc.nm","film.nm"
0,2.8129873114264e-06,0.0377645124683913,0,0,0,0,0.282105631018513,1.30716367284508e-05,"1 untreated",0,2e-05,0.005,18000,0.141774560495891,0,0,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
181.818181818182,2.78231482306191e-06,0.000759929307755867,0.000505456252767544,0.138405492787228,3.58479611891875e-05,0.000184540657049638,0.00568068647532872,1.29291051131002e-05,"1 untreated",0,2e-05,0.005,18000,0.14022866708232,0.0505050505050505,0.0021043771043771,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
363.636363636364,2.79011412064165e-06,0.000757736082716074,0.00101274973371801,0.276175689692195,7.18262222495043e-05,0.000368234252922927,0.00566430304229926,1.29653475747299e-05,"1 untreated",0,2e-05,0.005,18000,0.140621751680339,0.101010101010101,0.00420875420875421,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
545.454545454545,2.79793270711965e-06,0.000755551780431097,0.0015215759262901,0.413517586700777,0.000107913186261709,0.000551356782267703,0.00564798626241907,1.30016796697079e-05,"1 untreated",0,2e-05,0.005,18000,0.14101580843883,0.151515151515152,0.00631313131313131,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
727.272727272727,2.80576688597495e-06,0.000753371289409721,0.00203100351450303,0.550692468728812,0.000144042802447023,0.000734256624971749,0.00563169795275093,1.30380842207153e-05,"1 untreated",0,2e-05,0.005,18000,0.141410651053137,0.202020202020202,0.00841750841750842,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
909.090909090909,2.81362755312432e-06,0.000751199468151769,0.00254185849030364,0.687471910393356,0.000180273651794584,0.000916629213857807,0.00561547440638153,1.30746118598563e-05,"1 untreated",0,2e-05,0.005,18000,0.141806828677466,0.252525252525252,0.0105218855218855,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
1090.90909090909,2.8215038551801e-06,0.000749035707526754,0.00305414391732484,0.823857264586991,0.000216605951583322,0.00109847635278265,0.00559931107309446,1.31112121526548e-05,"1 untreated",0,2e-05,0.005,18000,0.142203794301077,0.303030303030303,0.0126262626262626,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
1272.72727272727,2.82939486254725e-06,0.000746879992731085,0.00356786269571785,0.95984995752849,0.00025303990749772,0.00127979994337132,0.00558320784230661,1.31478807793869e-05,"1 untreated",0,2e-05,0.005,18000,0.142601501072381,0.353535353535354,0.0147306397306397,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
1454.54545454545,2.83730174681735e-06,0.000744732322830771,0.00408301771176411,1.09545143976288,0.00028957572423859,0.00146060191968384,0.00556716470704106,1.31846231843074e-05,"1 untreated",0,2e-05,0.005,18000,0.143000008039595,0.404040404040404,0.0168350168350168,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
1636.36363636364,2.84522460874846e-06,0.00074259265723512,0.00459961172668955,1.23066316502013,0.000326213597637556,0.00164088422002684,0.00555118136408456,1.32214398356277e-05,"1 untreated",0,2e-05,0.005,18000,0.143399320280922,0.454545454545455,0.0189393939393939,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
1818.18181818182,2.85316254806077e-06,0.000740460965882835,0.00511764763382416,1.36548658445565,0.000362953732895331,0.0018206487792742,0.00553525758887865,1.32583265498484e-05,"1 untreated",0,2e-05,0.005,18000,0.143799392422263,0.505050505050505,0.021043771043771,"Untreated (pH 7.5)","1 ","Straw covered (0.005 m/s)","Very intense mixing
20 um"
