"months"|"e.NH3.rel"|"e.NH3"|"j.NH3"
"1"|1|8.2|1619|2.2
"2"|2|16|3087|2
"3"|3|22|4437|1.9
"4"|4|29|5677|1.7
"5"|5|35|6817|1.6
